Unnamed: 0,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
44,Vermont,57633,469021,0.12287935934638301,10,78,0.12820512820512803,9.0,0.9,1.0,0.1,0.0,,,0.0,,,1.0,,,3.0,,,2.0,,4.0,17.3511703364392,16.5294077610431
45,Virginia,757224,5442170,0.139140085664358,206,866,0.237875288683603,199.0,0.9660194174757281,7.0,0.033980582524272,3.0,,,20.0,,,16.0,,,43.0,,,44.0,,80.0,27.204631654569898,14.0876757170734
46,Washington,628595,4633815,0.13565388346319399,225,822,0.273722627737226,216.0,0.96,9.0,0.04,6.0,,,26.0,,,25.0,,,39.0,,,46.0,,83.0,35.7941122662446,14.9055482595213
47,West Virginia,175697,1389726,0.126425640737815,73,255,0.286274509803922,73.0,1.0,0.0,0.0,2.0,,,6.0,,,6.0,,,11.0,,,18.0,,30.0,41.5488027684024,14.9914046534308
48,Wisconsin,444679,4080095,0.108987413283269,136,643,0.21150855365474303,,0.0,,0.0,0.0,,,6.0,,,23.0,,,28.0,,,26.0,,53.0,30.5838593682184,13.9461343626149
49,Wyoming,55519,379651,0.146236938662087,17,90,0.188888888888889,,0.0,,0.0,,,,,,,,,,,,,,,,30.620148057421797,22.5216886947293
0,Alabama,408917,3473558,0.11772280756503802,145,580,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,35.4595186798299,14.1941584675008
1,Alaska,70067,478581,0.146405728601846,29,135,0.21481481481481499,28.0,0.96551724137931,1.0,0.03448275862069,1.0,,,1.0,,,5.0,,,5.0,,,11.0,,6.0,41.3889562846989,25.947703138692898
2,Arizona,558906,4521911,0.12359951356848899,225,979,0.229826353421859,,0.0,,0.0,,,,,,,,,,,,,,,,40.2572167770609,19.025966406804898
3,Arkansas,258170,2110583,0.122321652358614,90,376,0.23936170212766,88.0,0.9777777777777779,2.0,0.022222222222222,,,9.0,,,,,,25.0,,,,,,39.0,34.8607506681644,15.439321576775802
4,California,2142367,26789221,0.07997123171293401,665,3334,0.19946010797840397,655.0,0.9849624060150379,10.0,0.015037593984962001,20.0,,,,,95.0,,,,,,238.0,,,312.0,31.040433315113603,10.828968273192197
5,Colorado,416250,3558782,0.11696417482161,148,730,0.20273972602739698,140.0,0.9459459459459459,8.0,0.054054054054054,3.0,,,6.0,,,24.0,,,28.0,,,32.0,,55.0,35.5555555555556,18.520097806482198
6,Connecticut,260131,2680115,0.09705964109749,44,292,0.150684931506849,,0.0,,0.0,,,,,,,,,,,,,,,,16.9145545898028,10.2480016396803
7,Delaware,79438,647164,0.12274786607413302,16,91,0.175824175824176,15.0,0.9375,1.0,0.0625,1.0,,,1.0,,,1.0,,,1.0,,,3.0,,9.0,20.141493995317102,13.210598070195802
8,Florida*,1747213,14016217,0.124656531787429,562,2440,0.23032786885245896,,0.0,,0.0,,,,,,,,,,,,,,,,32.1655115890278,15.3068659852096
9,Georgia,732779,6850347,0.10696961774345201,97,923,0.105092091007584,,0.0,,0.0,1.0,,,13.0,,,25.0,,,30.0,,,27.0,,1.0,13.237278906737199,13.5020975655685
10,Hawaii,117468,950715,0.123557533014626,21,120,0.175,,0.0,,0.0,,,,,,,,,,,,,,,,17.877209112268897,11.881230895520801
11,Idaho,133128,1066418,0.12483660253296601,53,222,0.23873873873873896,53.0,1.0,0.0,0.0,2.0,,,4.0,,,,,16.0,,,,9.0,,22.0,39.811309416501395,18.107983584952198
12,Illinois,845481,9597260,0.08809608158995401,186,1010,0.184158415841584,,0.0,,0.0,3.0,,,15.0,,,21.0,,,38.0,,,40.0,,69.0,21.999311634442396,9.41522860666386
13,Indiana,513266,4728420,0.10854915595484299,108,824,0.131067961165049,107.0,0.9907407407407409,1.0,0.009259259259259,,1.0,,,8.0,,,13.0,,,28.0,,,57.0,,21.041721056917897,16.986330748532602
14,Iowa,253158,2265619,0.111738999363971,63,334,0.188622754491018,,0.0,,0.0,,,,,,,,,,,,,,,,24.885644538193496,13.4660994672692
15,Kansas,234507,2053186,0.114216149925043,94,379,0.24802110817942,93.0,0.9893617021276601,1.0,0.010638297872339999,1.0,,,10.0,,,20.0,,,14.0,,,15.0,,34.0,40.0840913064429,15.6707148430262
16,Kentucky,340830,3192332,0.106765211137187,34,622,0.054662379421222,,0.0,,0.0,,,,,,,,,,,,,,,,9.975647683595929,20.6207114706565
17,Louisiana,324880,3183547,0.102049694884354,81,492,0.164634146341463,,0.0,,0.0,,9.0,,,7.0,,,7.0,,,20.0,,,38.0,,24.932282688992895,14.3773304130911
18,Maine,142205,1035232,0.137365344193379,43,158,0.272151898734177,,0.0,,0.0,,,,,,,,,,,,,,,,30.238036637248996,12.877550174854699
19,Maryland,475371,4230839,0.11235856528693199,91,495,0.18383838383838397,,0.0,,0.0,4.0,,,7.0,,,5.0,,,13.0,,,21.0,,41.0,19.1429430907649,10.7576472492909
20,Massachusetts,453873,4983228,0.091080119151682,30,450,0.066666666666667,30.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,,3.0,,,13.0,,14.0,6.60977850632225,9.27284348433717
21,Michigan,765929,7613279,0.100604351948746,258,1139,0.22651448639157198,250.0,0.9689922480620159,8.0,0.031007751937983996,3.0,,,12.0,,,40.0,,,56.0,,,59.0,,88.0,33.6845843413685,12.8662913389852
22,Minnesota,410003,3905954,0.10496872210988699,113,554,0.20397111913357396,107.0,0.946902654867257,6.0,0.053097345132743,2.0,,,8.0,,,15.0,,,23.0,,,16.0,,49.0,27.5607739455565,12.614593282342902
23,Mississippi,212612,2140412,0.09933227808478,65,325,0.2,63.0,0.969230769230769,2.0,0.030769230769231003,0.0,,,1.0,,,6.0,,,8.0,,,16.0,,34.0,30.5721219874701,13.486876231974302
24,Missouri***,526916,4403875,0.119648264312679,180,799,0.22528160200250302,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,34.1610427468515,15.966121901211698
25,Montana,102845,722684,0.14230977854774698,54,189,0.28571428571428603,54.0,1.0,0.0,0.0,2.0,,,,,8.0,,,,,,20.0,,,24.0,52.50619864845161,21.779849283443
26,Nebraska,151844,1316899,0.11530421087722,5,202,0.024752475247525,,0.0,,0.0,,,,,,,,,,,,,,,,3.29285319143331,16.9090729622207
27,Nevada,236901,1852592,0.127875430747839,107,486,0.22016460905349802,,0.0,,0.0,3.0,,,2.0,,,7.0,,,20.0,,,30.0,,48.0,45.1665463632488,23.4574556644804
28,New Hampshire,130690,1015927,0.128641132679809,33,151,0.21854304635761604,31.0,0.93939393939394,2.0,0.060606060606060996,,,,,,,,,,,,,,,,25.250593006350897,13.329763667808699
29,New Jersey,527080,6628089,0.079522166947366,93,585,0.15897435897435902,92.0,0.989247311827957,1.0,0.010752688172043001,2.0,,,6.0,,,13.0,,,10.0,,,21.0,,41.0,17.644380359717697,8.06423986589759
30,New Mexico,176274,1436320,0.122726133452156,76,352,0.21590909090909102,74.0,0.9736842105263158,2.0,0.026315789473683997,2.0,,,4.0,,,6.0,,,11.0,,,17.0,,36.0,43.1146964384992,21.9039622362993
31,New York,1098766,14768694,0.07439831849722099,216,1326,0.16289592760181001,213.0,0.9861111111111109,3.0,0.013888888888889,2.0,,,9.0,,,4.0,,,20.0,,,45.0,,136.0,19.6584168057621,8.120013507020671
32,North Carolina,752508,6625708,0.113573975792474,200,1106,0.180831826401447,194.0,0.97,6.0,0.03,7.0,,,9.0,,,17.0,,,49.0,,,41.0,,77.0,26.5777905351172,15.4260028604509
33,North Dakota**,57536,487103,0.118118755170878,18,90,0.2,18.0,1.0,0.0,0.0,2.0,,,2.0,,,1.0,,,5.0,,,4.0,,4.0,31.2847608453838,16.761064048216
