Unnamed: 0,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
8,Florida*,1655847,14266412,0.11606611389044401,631,2740,0.23029197080292002,,0.0,,0.0,,,,,,,,,,,,,,,,38.1073855253535,16.7240722362559
9,Georgia,709363,7082157,0.10016199866791999,192,981,0.19571865443425102,,0.0,,0.0,4.0,,,14.0,,,18.0,,,38.0,,,43.0,,75.0,27.066537160804803,12.3807548149211
10,Hawaii,106372,959788,0.11082864132495901,20,133,0.150375939849624,,0.0,,0.0,,,,,,,,,,,,,,,,18.8019403602452,13.240904787348699
11,Idaho,135394,1105360,0.12248860099877,75,252,0.297619047619048,74.0,0.986666666666667,1.0,0.013333333333333,1.0,,,4.0,,,,,25.0,,,,16.0,,32.0,55.393887469164106,18.2480623032148
12,Illinois,782182,9701259,0.08062685472060901,229,1198,0.19115191986644398,,0.0,,0.0,7.0,,,11.0,,,30.0,,,40.0,,,51.0,,90.0,29.277073622251603,10.864352892121
13,Indiana,486149,4787570,0.10154399831229599,184,809,0.22744128553770102,180.0,0.9782608695652171,4.0,0.021739130434783,,9.0,,,15.0,,,20.0,,,32.0,,,103.0,,37.848478552871704,14.530082035680802
14,Iowa,245912,2290057,0.10738247999940598,74,380,0.19473684210526299,,0.0,,0.0,,,,,,,,,,,,,,,,30.092065454308894,14.969583860244699
15,Kansas,231810,2084264,0.111219116196413,74,337,0.21958456973293802,73.0,0.9864864864864858,1.0,0.013513513513513998,7.0,,,6.0,,,10.0,,,10.0,,,12.0,,29.0,31.922695310814902,14.1973835787555
16,Kentucky,329768,3242747,0.101694026700202,51,612,0.083333333333333,,0.0,,0.0,,,,,,,,,,,,,,,,15.4654181121273,19.258635232179802
17,Louisiana,304756,3287010,0.092715264024144,97,532,0.18233082706766895,,0.0,,0.0,,7.0,,,17.0,,,10.0,,,15.0,,,48.0,,31.828741681870103,14.586282724409099
18,Maine,136533,1038090,0.131523278328469,44,181,0.243093922651934,,0.0,,0.0,,,,,,,,,,,,,,,,32.2266411783232,15.1959332576864
19,Maryland,445742,4265690,0.104494700740091,92,507,0.18145956607495103,,0.0,,0.0,1.0,,,8.0,,,5.0,,,13.0,,,21.0,,44.0,20.6397422724356,10.8640222327634
20,Massachusetts,422508,5062590,0.08345688669238499,48,509,0.09430255402750501,48.0,1.0,0.0,0.0,0.0,,,0.0,,,4.0,,,8.0,,,8.0,,28.0,11.360731631117,9.935169249164131
21,Michigan,720840,7603028,0.094809594282699,224,1180,0.18983050847457603,219.0,0.9776785714285708,5.0,0.022321428571429002,12.0,,,13.0,,,33.0,,,41.0,,,45.0,,80.0,31.0748571111481,13.8909311980434
22,Minnesota,391485,3966540,0.09869684914308198,110,596,0.184563758389262,109.0,0.990909090909091,1.0,0.009090909090909,4.0,,,6.0,,,10.0,,,20.0,,,30.0,,40.0,28.098139136876302,13.594196452921699
23,Mississippi,209831,2158203,0.097224867169585,81,409,0.198044009779951,81.0,1.0,0.0,0.0,1.0,,,6.0,,,8.0,,,16.0,,,11.0,,39.0,38.6024943883411,16.834567526119198
24,Missouri***,508839,4469294,0.11385221021485699,180,779,0.23106546854942198,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,35.3746469905019,15.124524833636501
25,Montana,100543,741354,0.135620769564877,50,203,0.246305418719212,49.0,0.98,1.0,0.02,1.0,,,,,10.0,,,,,,17.0,,,22.0,49.729966283082895,23.8759946380446
26,Nebraska,147482,1329791,0.110906149913783,21,191,0.109947643979058,,0.0,,0.0,,,,,,,,,,,,,,,,14.2390257794172,14.3786438232306
27,Nevada,227277,1922260,0.118234265916161,131,528,0.248106060606061,,0.0,,0.0,5.0,,,4.0,,,9.0,,,23.0,,,37.0,,53.0,57.6389163883719,23.422063820109102
28,New Hampshire,121145,1021327,0.118615291674459,36,179,0.201117318435754,35.0,0.9722222222222221,1.0,0.027777777777778,,,,,,,,,,,,,,,,29.716455487226,15.885676452095199
29,New Jersey,485053,6623050,0.073237103751293,77,615,0.12520325203252,75.0,0.9740259740259741,2.0,0.025974025974026,1.0,,,2.0,,,12.0,,,14.0,,,15.0,,33.0,15.874553914726802,8.76507433939769
30,New Mexico,171725,1473640,0.11653117450666399,80,419,0.19093078758949897,76.0,0.95,4.0,0.05,3.0,,,4.0,,,10.0,,,20.0,,,9.0,,34.0,46.5861115155044,26.0385662658468
31,New York,1032622,15051925,0.068603982547083,224,1409,0.158977998580554,220.0,0.982142857142857,4.0,0.017857142857143002,2.0,,,,,,7.0,,,6.0,,,54.0,,155.0,21.692352090116202,8.45263134693644
32,North Carolina,746259,6879572,0.108474626037783,238,1162,0.20481927710843398,232.0,0.9747899159663861,6.0,0.025210084033613,11.0,,,16.0,,,27.0,,,52.0,,,46.0,,86.0,31.8924126878202,15.0652673359406
33,North Dakota**,54688,493281,0.110865814819545,14,86,0.162790697674419,13.0,0.9285714285714292,1.0,0.071428571428571,0.0,,,0.0,,,0.0,,,3.0,,,5.0,,5.0,25.599765944997102,16.4161306724002
34,Ohio,926863,8740001,0.106048386035654,264,1412,0.18696883852691198,259.0,0.981060606060606,5.0,0.018939393939393995,5.0,,,15.0,,,32.0,,,52.0,,,63.0,,97.0,28.4831738886977,14.693200094507501
35,Oklahoma,316987,2713979,0.116797882371234,145,575,0.25217391304347797,,0.0,,0.0,6.0,,,11.0,,,22.0,,,23.0,,,24.0,,55.0,45.74320082527039,17.939150401837
36,Oregon,349013,2919847,0.11953126311070401,140,572,0.244755244755245,136.0,0.9714285714285709,4.0,0.028571428571429,4.0,,,8.0,,,19.0,,,22.0,,,36.0,,51.0,40.1131189955675,16.8038854317315
37,Pennsylvania,1023082,9671561,0.10578251018630801,333,1539,0.21637426900584802,330.0,0.990990990990991,3.0,0.009009009009009002,5.0,,,20.0,,,43.0,,,61.0,,,73.0,,131.0,32.5487106605336,13.9446485329964
38,Rhode Island,82464,815584,0.10111036999254501,16,110,0.14545454545454503,,0.0,,0.0,,,,,,,,,,,,,,,,19.4024058983314,12.8219118288957
39,South Carolina,391275,3375008,0.115933058529046,137,565,0.242477876106195,131.0,0.956204379562044,6.0,0.043795620437956005,9.0,,,5.0,,,11.0,,,20.0,,,42.0,,50.0,35.013737141396696,14.3444470399999
40,South Dakota,70852,601688,0.117755381526638,20,124,0.161290322580645,,0.0,,0.0,,,,,,,,,,,,,,,,28.227855247558303,19.5917383146584
41,Tennessee,503323,4720255,0.10663046805733999,176,973,0.180883864337102,173.0,0.982954545454545,3.0,0.017045454545454,5.0,,,11.0,,,16.0,,,40.0,,,50.0,,54.0,34.967605295208,18.899996490339397
42,Texas,1603981,17493335,0.091690978306881,454,2552,0.17789968652037602,445.0,0.980176211453744,9.0,0.019823788546256,,41.0,,,38.0,,,74.0,,,76.0,,,225.0,,28.304574680124002,13.2038092926874
43,Utah,146547,1875269,0.07814718848335901,55,390,0.141025641025641,55.0,1.0,0.0,0.0,5.0,,,6.0,,,5.0,,,11.0,,,16.0,,12.0,37.5306215753308,19.3784772797477
44,Vermont,53175,491776,0.10812849752733,15,94,0.159574468085106,14.0,0.933333333333333,1.0,0.066666666666667,0.0,,,0.0,,,1.0,,,3.0,,,6.0,,5.0,28.2087447108604,18.0118148385435
45,Virginia,720855,5812063,0.124027389241995,203,948,0.21413502109704602,194.0,0.9556650246305419,9.0,0.044334975369458005,6.0,,,12.0,,,20.0,,,35.0,,,33.0,,87.0,28.161003253081397,14.6330694012109
46,Washington,606459,4942947,0.12269178690364302,238,889,0.26771653543307106,232.0,0.9747899159663861,6.0,0.025210084033613,11.0,,,16.0,,,27.0,,,52.0,,,46.0,,86.0,39.2442028232741,15.0121480792752
47,West Virginia,171744,1426761,0.12037334914537198,58,261,0.222222222222222,56.0,0.96551724137931,2.0,0.03448275862069,4.0,,,3.0,,,9.0,,,7.0,,,12.0,,23.0,33.7711943357555,16.1750797001156
48,Wisconsin,438533,4310254,0.101741799903208,131,743,0.17631224764468398,,0.0,,0.0,0.0,,,6.0,,,17.0,,,24.0,,,45.0,,39.0,29.8723243176682,15.8069241042937
49,Wyoming,50704,401718,0.126217894144649,30,124,0.241935483870968,,0.0,,0.0,,,,,,,,,,,,,,,,59.1669296307984,26.7795586500823
0,Alabama,397405,3558849,0.11166672145966301,178,673,0.264487369985141,,0.0,,0.0,,,,,,,,,,,,,,,,44.7905788804872,15.6574021238396
1,Alaska,70458,500570,0.14075553868589802,34,143,0.237762237762238,34.0,1.0,0.0,0.0,2.0,,,9.0,,,5.0,,,4.0,,,10.0,,4.0,48.2556984302705,25.342236440741
2,Arizona,532634,4843073,0.109978519836476,228,1060,0.215094339622642,,0.0,,0.0,,,,,,,,,,,,,,,,42.8061295373559,19.3019782903783
3,Arkansas,244016,2173244,0.112281915882432,89,422,0.210900473933649,87.0,0.9775280898876401,2.0,0.022471910112359997,,,10.0,,,,,,29.0,,,,16.0,,34.0,36.473018162743394,17.2607903264933
4,California,1963556,27365341,0.07175339053878399,723,3823,0.189118493329846,705.0,0.9751037344398341,18.0,0.024896265560166,24.0,,,,,98.0,,,,,,268.0,,,333.0,36.820951375973,12.203866775504197
5,Colorado,395350,3762991,0.10506270145211599,211,941,0.22422954303932,202.0,0.957345971563981,9.0,0.042654028436019,7.0,,,19.0,,,32.0,,,38.0,,,40.0,,75.0,53.3704312634375,21.6768948946755
6,Connecticut,222632,2703644,0.082345160827387,31,316,0.09810126582278501,,0.0,,0.0,,,,,,,,,,,,,,,,13.9243235473786,11.4872479455964
7,Delaware,77232,673811,0.114619678218373,17,107,0.15887850467289702,17.0,1.0,0.0,0.0,0.0,,,3.0,,,1.0,,,2.0,,,5.0,,6.0,22.0116014087425,15.086015431317598
8,Florida*,1591864,14412206,0.11045248728751199,658,2858,0.230230930720784,,0.0,,0.0,,,,,,,,,,,,,,,,41.3351894382937,17.160228642886402
9,Georgia,693809,7166761,0.09680928385919399,244,1134,0.215167548500882,,0.0,,0.0,9.0,,,25.0,,,27.0,,,41.0,,,56.0,,86.0,35.1681802916941,13.7495226289334
10,Hawaii,106310,958760,0.110882806958989,25,175,0.14285714285714302,,0.0,,0.0,,,,,,,,,,,,,,,,23.5161320665977,17.596339961288102
11,Idaho,122552,1121706,0.109255009779746,66,304,0.217105263157895,60.0,0.9090909090909091,6.0,0.09090909090909101,1.0,,,5.0,,,,,25.0,,,,13.0,,22.0,53.854690253933,23.8201518484638
12,Illinois,772410,9716887,0.079491507928414,199,1177,0.16907391673746802,,0.0,,0.0,9.0,,,8.0,,,21.0,,,35.0,,,41.0,,85.0,25.763519374425503,10.9341216931968
13,Indiana,471717,4830620,0.09765144018780197,150,828,0.18115942028985502,148.0,0.986666666666667,2.0,0.013333333333333,,9.0,,,12.0,,,23.0,,,37.0,,,67.0,,31.798726778979802,15.5543722812827
14,Iowa,234659,2296177,0.10219551889945801,71,361,0.19667590027700801,,0.0,,0.0,,,,,,,,,,,,,,,,30.256670317354104,14.0673038023437
15,Kansas,218993,2099260,0.104319141030649,93,382,0.243455497382199,90.0,0.967741935483871,3.0,0.032258064516129,4.0,,,15.0,,,17.0,,,8.0,,,15.0,,34.0,42.4671108208938,15.3701575361372
16,Kentucky,319199,3275369,0.09745436315725,104,592,0.175675675675676,,0.0,,0.0,,,,,,,,,,,,,,,,32.5815557066282,16.507846301126097
17,Louisiana,315813,3351308,0.09423574317848402,92,490,0.18775510204081602,,0.0,,0.0,,4.0,,,16.0,,,14.0,,,13.0,,,47.0,,29.1311630616852,13.1115353509065
18,Maine,132238,1043178,0.12676455983542598,45,197,0.22842639593908604,,0.0,,0.0,,,,,,,,,,,,,,,,34.029552776055304,16.6860605528355
19,Maryland,438707,4313424,0.10170736751128599,97,551,0.176043557168784,,0.0,,0.0,6.0,,,7.0,,,7.0,,,14.0,,,19.0,,44.0,22.110429056295,11.7169847501121
20,Massachusetts,414595,5153924,0.080442590926836,48,530,0.09056603773584901,46.0,0.958333333333333,2.0,0.041666666666667,0.0,,,2.0,,,6.0,,,4.0,,,15.0,,21.0,11.5775636464502,10.1702160791116
21,Michigan,706848,7614974,0.092823429206718,232,1169,0.198460222412318,227.0,0.9784482758620692,5.0,0.021551724137931,1.0,,,11.0,,,29.0,,,37.0,,,48.0,,106.0,32.821766490108196,13.5637363881319
22,Minnesota,381202,4004268,0.095198922749426,106,584,0.18150684931506797,103.0,0.9716981132075471,3.0,0.028301886792453,4.0,,,11.0,,,8.0,,,21.0,,,26.0,,36.0,27.8067796076621,13.193245720613401
23,Mississippi,203152,2171630,0.093548164282129,77,381,0.202099737532808,73.0,0.9480519480519479,4.0,0.051948051948052,3.0,,,4.0,,,9.0,,,11.0,,,12.0,,38.0,37.9026541702764,15.4434034822843
24,Missouri***,498159,4536263,0.10981704544026699,180,860,0.209302325581395,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,36.133041860129,16.8395861027849
25,Montana,96661,749212,0.129016887076021,48,219,0.219178082191781,47.0,0.979166666666667,1.0,0.020833333333333,1.0,,,,,7.0,,,,,,25.0,,,15.0,49.6580834048893,26.2048483566802
26,Nebraska,147275,1342732,0.109683093871301,30,170,0.17647058823529396,,0.0,,0.0,,,,,,,,,,,,,,,,20.370056017654,11.7110025705651
27,Nevada,218908,1947160,0.112424248649315,118,505,0.23366336633663398,,0.0,,0.0,1.0,,,5.0,,,13.0,,,19.0,,,23.0,,57.0,53.903923109251394,22.392567750536397
28,New Hampshire,114796,1034119,0.111008500955886,28,166,0.168674698795181,27.0,0.9642857142857142,1.0,0.035714285714286004,,,,,,,,,,,,,,,,24.3910937663333,15.0110461720201
29,New Jersey,464094,6646834,0.06982181291123,81,557,0.145421903052065,80.0,0.987654320987654,1.0,0.012345679012346,4.0,,,6.0,,,7.0,,,15.0,,,20.0,,29.0,17.453360741573903,7.6988519653098795
30,New Mexico,168545,1484782,0.11351498065035799,85,376,0.226063829787234,80.0,0.941176470588235,5.0,0.058823529411765,3.0,,,7.0,,,10.0,,,15.0,,,26.0,,24.0,50.4316354682726,22.1084804636247
31,New York,994358,15092255,0.065885316674016,192,1417,0.135497529992943,191.0,0.994791666666667,1.0,0.005208333333333,5.0,,,2.0,,,2.0,,,7.0,,,47.0,,129.0,19.308941045378,8.689239253202091
32,North Carolina,731015,6996408,0.10448432967316901,249,1174,0.21209540034071603,240.0,0.9638554216867471,9.0,0.036144578313253004,8.0,,,20.0,,,22.0,,,51.0,,,50.0,,98.0,34.0622285452419,14.763638928954698
33,North Dakota**,52159,498949,0.10453773832596099,14,90,0.155555555555556,13.0,0.9285714285714292,1.0,0.071428571428571,0.0,,,0.0,,,0.0,,,3.0,,,5.0,,5.0,26.8410053873732,17.010228518991
34,Ohio,897333,8813009,0.10181914031858999,243,1176,0.206632653061224,237.0,0.9753086419753091,6.0,0.024691358024691003,7.0,,,18.0,,,25.0,,,43.0,,,52.0,,98.0,27.0802478009836,11.786738113080899
35,Oklahoma,313711,2741064,0.11444862287053502,122,567,0.215167548500882,,0.0,,0.0,3.0,,,6.0,,,22.0,,,19.0,,,33.0,,39.0,38.889296199368204,18.3327270487646
36,Oregon,343557,2948094,0.116535293650745,145,644,0.22515527950310602,135.0,0.931034482758621,10.0,0.06896551724137899,2.0,,,7.0,,,17.0,,,21.0,,,37.0,,61.0,42.2055146598672,19.1588754546393
37,Pennsylvania,988006,9817894,0.10063319078409301,292,1631,0.17903126916002401,289.0,0.9897260273972601,3.0,0.01027397260274,9.0,,,13.0,,,28.0,,,41.0,,,60.0,,141.0,29.5544763898195,15.1644052563294
38,Rhode Island,75328,822465,0.091588091894488,22,118,0.18644067796610198,,0.0,,0.0,,,,,,,,,,,,,,,,29.2056074766355,12.8490491034442
39,South Carolina,385544,3441651,0.112022979668769,143,619,0.23101777059773798,142.0,0.9930069930069929,1.0,0.006993006993007,4.0,,,15.0,,,10.0,,,25.0,,,34.0,,45.0,37.0904488203681,15.575370888519302
40,South Dakota,68313,609906,0.112005784497939,33,129,0.255813953488372,,0.0,,0.0,,,,,,,,,,,,,,,,48.3070572219051,17.725487589389104
41,Tennessee,502280,4782812,0.10501771761047698,196,947,0.206969376979937,193.0,0.9846938775510201,3.0,0.015306122448980001,5.0,,,15.0,,,18.0,,,35.0,,,41.0,,82.0,39.0220594090945,17.544548201018
42,Texas,1581873,17785992,0.08893926186405599,492,2809,0.175151299394802,474.0,0.963414634146341,18.0,0.036585365853658,,54.0,,,36.0,,,66.0,,,99.0,,,236.0,,31.102370417852804,14.298833524982099
43,Utah,149221,1906017,0.078289438131979,79,449,0.17594654788418698,77.0,0.9746835443037979,2.0,0.025316455696202004,0.0,,,7.0,,,11.0,,,19.0,,,18.0,,21.0,52.94161009509379,21.0610679896812
44,Vermont,51899,494457,0.104961604345777,7,87,0.080459770114942,7.0,1.0,0.0,0.0,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,5.0,13.487735794524,18.0767266663353
45,Virginia,728528,5913691,0.123193450587797,198,963,0.20560747663551399,186.0,0.93939393939394,12.0,0.060606060606060996,2.0,,,13.0,,,23.0,,,37.0,,,51.0,,72.0,27.1780906155975,14.753634553050698
46,Washington,585202,5035212,0.116221918759329,249,921,0.270358306188925,240.0,0.9638554216867471,9.0,0.036144578313253004,8.0,,,20.0,,,22.0,,,51.0,,,50.0,,98.0,42.5494102890968,15.101089660472699
47,West Virginia,156260,1433007,0.10904343105092999,66,253,0.260869565217391,63.0,0.954545454545455,3.0,0.045454545454546,6.0,,,7.0,,,10.0,,,6.0,,,13.0,,24.0,42.237296813004,14.646597955585598
48,Wisconsin,430296,4343001,0.09907803382960301,134,724,0.18508287292817702,,0.0,,0.0,3.0,,,6.0,,,13.0,,,27.0,,,30.0,,55.0,31.141353858739098,15.079082118380999
49,Wyoming,51008,410174,0.124356980208399,18,111,0.162162162162162,,0.0,,0.0,,,,,,,,,,,,,,,,35.288582183186996,25.893319523562898
0,Alabama,401114,3634612,0.11035951017605199,156,679,0.229749631811487,,0.0,,0.0,,,,,,,,,,,,,,,,38.8916866526723,16.1744340030518
1,Alaska,71399,507439,0.14070459700574803,35,164,0.21341463414634101,33.0,0.942857142857143,2.0,0.05714285714285701,4.0,,,6.0,,,5.0,,,6.0,,,8.0,,6.0,49.0202944018824,29.5844417943308
2,Arizona,529692,4762678,0.11121726054123302,240,1093,0.219579139981702,,0.0,,0.0,,,,,,,,,,,,,,,,45.3093495842867,20.1512596545323
3,Arkansas,247571,2203766,0.11233996712899601,105,447,0.23489932885906,103.0,0.980952380952381,2.0,0.019047619047619,,,13.0,,,,,,27.0,,,,25.0,,40.0,42.412075727771004,17.4829196475811
4,California,1947570,27908574,0.069783930916714,705,3913,0.180168668540762,682.0,0.967375886524823,23.0,0.032624113475177005,25.0,,,,,82.0,,,,,,267.0,,,331.0,36.1989556216208,12.356995130080499
5,Colorado,391203,3789844,0.10322403771764699,156,865,0.180346820809249,155.0,0.993589743589744,1.0,0.006410256410255999,12.0,,,8.0,,,16.0,,,31.0,,,39.0,,50.0,39.876994808322,20.861279552621202
6,Connecticut,225379,2753985,0.08183741015292402,52,353,0.14730878186968802,,0.0,,0.0,,,,,,,,,,,,,,,,23.0722471925068,11.9037920498488
7,Delaware,73311,690836,0.10611925261567098,14,106,0.132075471698113,12.0,0.857142857142857,2.0,0.14285714285714302,0.0,,,1.0,,,2.0,,,4.0,,,4.0,,3.0,19.0967249116776,14.8981822598275
8,Florida*,1616185,14789132,0.109281937574159,642,2789,0.23019003226963103,,0.0,,0.0,,,,,,,,,,,,,,,,39.723175255308,16.298554909543
9,Georgia,696844,7170107,0.09718739204310302,175,1133,0.154457193292145,,0.0,,0.0,10.0,,,15.0,,,11.0,,,25.0,,,42.0,,72.0,25.113224767666804,14.799336903197
10,Hawaii,117301,1025770,0.114354094972557,31,207,0.14975845410628,,0.0,,0.0,,,,,,,,,,,,,,,,26.427737188941304,19.3732532425432
11,Idaho,125328,1139751,0.10996085987202499,70,290,0.24137931034482799,67.0,0.957142857142857,3.0,0.042857142857142996,3.0,,,4.0,,,,,16.0,,,,17.0,,30.0,55.8534405719392,21.6872054359966
12,Illinois,751492,9708301,0.077407159089938,200,1178,0.16977928692699498,,0.0,,0.0,,,,,,,,,,,,,,,,26.6137231001794,10.919067270497802
13,Indiana,469627,4880691,0.09622141618881401,165,864,0.190972222222222,163.0,0.9878787878787879,2.0,0.012121212121212,,9.0,,,15.0,,,28.0,,,29.0,,,81.0,,35.1342661303545,15.8465168494495
14,Iowa,233244,2323493,0.10038506679383198,71,372,0.19086021505376302,,0.0,,0.0,,,,,,,,,,,,,,,,30.4402256864056,14.4001982538922
15,Kansas,215780,2118586,0.10185095153088,81,401,0.201995012468828,76.0,0.9382716049382719,5.0,0.061728395061727996,7.0,,,8.0,,,7.0,,,17.0,,,19.0,,23.0,37.538233385855996,16.817268812480098
16,Kentucky,317278,3295944,0.09626316466541901,104,631,0.16481774960380402,,0.0,,0.0,,,,,,,,,,,,,,,,32.7788248791281,17.692483816581
17,Louisiana,312187,3410467,0.09153790375335699,125,557,0.22441651705565502,,0.0,,0.0,,11.0,,,12.0,,,13.0,,,23.0,,,68.0,,40.040104168335,13.9432201092219
18,Maine,128123,1051795,0.121813661407404,46,186,0.247311827956989,,0.0,,0.0,,,,,,,,,,,,,,,,35.902999461455,15.156895521353901
19,Maryland,429774,4404995,0.09756515047122599,85,502,0.169322709163347,,0.0,,0.0,4.0,,,9.0,,,5.0,,,20.0,,,11.0,,36.0,19.777836723487198,10.4899828210809
20,Massachusetts,398252,5135613,0.077547120470331,75,598,0.125418060200669,67.0,0.893333333333333,8.0,0.10666666666666699,1.0,,,8.0,,,10.0,,,5.0,,,22.0,,29.0,18.8322971384952,11.039901751207099
21,Michigan,692922,7538643,0.09191601194008,212,1263,0.167854315122724,211.0,0.995283018867924,1.0,0.004716981132075,12.0,,,12.0,,,24.0,,,40.0,,,44.0,,80.0,30.5950741930549,15.3526560606253
22,Minnesota,377976,4024747,0.09391298384718301,91,606,0.15016501650164998,88.0,0.967032967032967,3.0,0.032967032967032996,2.0,,,3.0,,,13.0,,,22.0,,,18.0,,33.0,24.075602683768302,14.1220822475554
23,Mississippi,204156,2204874,0.09259304613324801,76,388,0.19587628865979395,73.0,0.9605263157894741,3.0,0.039473684210526,2.0,,,7.0,,,6.0,,,13.0,,,19.0,,29.0,37.2264346872,15.5944016098221
24,Missouri***,495420,4555615,0.108749312661408,180,856,0.210280373831776,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,36.3328085260991,16.6494466398781
25,Montana,95353,764891,0.124662206771945,68,227,0.299559471365639,65.0,0.9558823529411759,3.0,0.044117647058824004,5.0,,,,,16.0,,,,,,27.0,,,20.0,71.3139597076128,23.7477185760928
26,Nebraska,144695,1365316,0.105979128641282,21,193,0.10880829015544001,,0.0,,0.0,,,,,,,,,,,,,,,,14.5132865682988,14.0911880100375
27,Nevada,230314,2030027,0.113453663424181,124,547,0.226691042047532,,0.0,,0.0,3.0,,,7.0,,,12.0,,,17.0,,,33.0,,51.0,53.8395408008198,23.5037475419692
28,New Hampshire,114826,1029988,0.11148285222740499,41,196,0.209183673469388,38.0,0.9268292682926829,3.0,0.073170731707317,,,,,,,,,,,,,,,,35.7061989444899,16.9368920475282
29,New Jersey,453498,6732067,0.06736385719274599,94,719,0.13073713490959699,93.0,0.9893617021276601,1.0,0.010638297872339999,2.0,,,5.0,,,7.0,,,13.0,,,20.0,,47.0,20.727765061808398,9.95449759332103
30,New Mexico,178732,1539376,0.116106786126327,82,413,0.198547215496368,76.0,0.9268292682926829,6.0,0.073170731707317,1.0,,,7.0,,,7.0,,,10.0,,,20.0,,37.0,45.878745831748105,24.3267158786575
31,New York,951890,15055513,0.06322534476241401,214,1547,0.138332255979315,208.0,0.97196261682243,6.0,0.028037383177569996,10.0,,,4.0,,,8.0,,,42.0,,,76.0,,74.0,22.481589259263203,9.4514721500993
32,North Carolina,726084,7190151,0.100983136515492,222,1174,0.189097103918228,212.0,0.954954954954955,10.0,0.045045045045045,13.0,,,22.0,,,22.0,,,34.0,,,41.0,,90.0,30.574974796304602,14.727570119554802
33,North Dakota**,52076,519829,0.100179097357015,24,106,0.226415094339623,24.0,1.0,0.0,0.0,2.0,,,4.0,,,4.0,,,4.0,,,5.0,,6.0,46.086488977648,17.5306197929249
34,Ohio,892782,8803836,0.10140829520222802,268,1439,0.18624044475330104,261.0,0.973880597014925,7.0,0.026119402985075,5.0,,,22.0,,,39.0,,,39.0,,,49.0,,114.0,30.0185263591784,14.8020731497977
35,Oklahoma,323461,2810612,0.115085611247657,131,618,0.211974110032362,,0.0,,0.0,4.0,,,13.0,,,15.0,,,26.0,,,33.0,,40.0,40.4994728885399,19.5806366400753
36,Oregon,331584,2969208,0.111674224237574,151,685,0.22043795620438003,146.0,0.966887417218543,5.0,0.033112582781457005,3.0,,,9.0,,,20.0,,,23.0,,,36.0,,60.0,45.538988612237,20.2454936715771
37,Pennsylvania,981646,9917938,0.098976823609908,285,1576,0.18083756345177698,276.0,0.9684210526315791,9.0,0.031578947368421,5.0,,,19.0,,,23.0,,,55.0,,,59.0,,124.0,29.0328692828168,14.4467078739146
38,Rhode Island,72835,825652,0.088215131798869,20,129,0.155038759689922,,0.0,,0.0,,,,,,,,,,,,,,,,27.4593258735498,14.478950395647301
39,South Carolina,409008,3521443,0.11614784053014598,132,637,0.20722135007849302,129.0,0.9772727272727271,3.0,0.022727272727273,11.0,,,8.0,,,17.0,,,13.0,,,36.0,,47.0,32.273207370026995,16.2252384387144
40,South Dakota,69780,610858,0.11423276768086901,21,140,0.15,,0.0,,0.0,,,,,,,,,,,,,,,,30.0945829750645,21.9931322286251
41,Tennessee,487899,4846847,0.10066317339911901,155,943,0.164369034994698,149.0,0.9612903225806451,6.0,0.03870967741935501,3.0,,,12.0,,,19.0,,,34.0,,,24.0,,63.0,31.768870196495598,18.0777563760797
42,Texas,1609732,18268116,0.088117023123786,535,2891,0.18505707367692803,520.0,0.97196261682243,15.0,0.028037383177569996,,59.0,,,54.0,,,71.0,,,85.0,,,266.0,,33.2353460079069,14.143028519453
43,Utah,152839,1898882,0.080488940334365,75,473,0.158562367864693,73.0,0.9733333333333329,2.0,0.026666666666667005,0.0,,,9.0,,,8.0,,,11.0,,,21.0,,24.0,49.0712449047691,22.794398534285804
44,Vermont,48498,495796,0.097818457591429,15,106,0.141509433962264,15.0,1.0,0.0,0.0,0.0,,,0.0,,,0.0,,,3.0,,,4.0,,8.0,30.9291104787826,20.344378915175103
45,Virginia,742131,6056442,0.122535805676006,188,963,0.19522326064382103,181.0,0.9627659574468079,7.0,0.037234042553192,3.0,,,16.0,,,19.0,,,36.0,,,35.0,,79.0,25.332454782242,14.5832639452226
46,Washington,592322,5112364,0.11586068597619399,222,957,0.23197492163009398,212.0,0.954954954954955,10.0,0.045045045045045,13.0,,,22.0,,,22.0,,,34.0,,,41.0,,90.0,37.4796141288016,16.2609108499434
47,West Virginia,163476,1465012,0.11158679928901599,72,279,0.258064516129032,70.0,0.9722222222222221,2.0,0.027777777777778,2.0,,,4.0,,,9.0,,,8.0,,,15.0,,34.0,44.04316229905311,15.9042853981757
48,Wisconsin,420641,4351489,0.09666599180188698,169,793,0.21311475409836103,,0.0,,0.0,8.0,,,8.0,,,15.0,,,33.0,,,48.0,,57.0,40.17677782241861,15.874437271550601
